T5	T10	T15	T20	T25	T30	T35	T40
2355.41354436	2207.424514	2383.92431289	2369.61008283	1958.40188445	2268.70402428	2386.89702798	1970.78334276
2072.6312774	2181.82766394	2099.307359	1860.17420048	2226.9974699	2273.29553837	2127.62190697	2425.02255842
1790.96957388	1719.49819601	1661.50975977	1895.58209536	1502.41672166	1463.06586711	1522.94125731	1471.05095706
880.162956289	855.139903024	863.770741508	790.870783249	984.007642298	978.003578954	1076.97912024	1300.48408785
897.641893879	891.440775841	917.428798556	980.186025655	819.523419266	824.309321182	625.393713321	582.972336487
2218.01058587	2224.32888904	2117.27130171	2057.68914488	2454.30840669	2345.76934068	2268.57645378	2400.47543576
692.28500539	802.481100406	707.448975185	673.587344859	791.296816748	758.747458116	869.861275919	1070.06342359
692.859657911	747.391632464	705.819368758	598.77956328	806.074821808	724.722864211	816.855997433	1010.0937049
901.887437736	926.331630107	878.712644565	941.384096158	1057.18949996	1136.40580279	919.573025877	741.387793199
695.118713598	643.620812505	598.647218114	585.677090871	673.259830393	663.811839591	863.11236704	904.20080259
819.737842104	786.914007991	777.084880709	750.462157627	844.276362965	752.254736367	990.281046933	1027.58200188
650.965092909	676.253552174	686.595921459	657.051531081	600.864104303	540.521420882	428.064191933	436.704190043
461.008726108	479.809301796	470.589128986	382.48714375	326.085404882	239.424343661	221.541495077	425.234450238
328.868986066	253.195802113	184.743975492	119.230110937	159.510427488	87.0772453667	67.0514923326	287.783242066
421.486338106	387.744789651	295.706008143	187.980060745	278.406385314	212.938855057	155.928158406	342.990490032
394.135730001	402.382172245	318.563227814	254.660211499	242.75276051	210.151420644	140.152809809	353.901175992
295.965615113	321.876446257	184.213127725	129.609088898	140.528066046	106.416556672	112.255875389	296.029679932
305.294987421	295.354353275	276.133507303	151.699744458	111.60270595	119.193271157	125.583063593	295.071309264
579.383095965	648.585433038	547.623798038	469.726542428	655.934915735	617.640704776	568.528192712	765.454196597
390.730991236	416.82487498	353.471008915	291.755446671	254.715127727	195.278545917	190.894479688	346.249655602
240.95886379	225.033446702	131.137561056	67.3260682381	54.4301427291	57.4230221998	94.3901219208	248.409026076
744.787760075	744.211157268	734.463697805	674.670165196	768.685041389	699.372876468	808.526032518	950.701552423
253.636278344	286.72598245	246.500293744	116.92896681	162.154992026	100.469881322	124.613875869	306.993214517
288.93376478	247.276287491	196.847776948	103.672770191	119.586202772	97.9431500058	131.123931034	292.132148688
290.307305755	250.484481372	171.996532029	110.15783642	101.681138183	82.4810247078	62.6628169876	184.897987091
283.069690115	226.296497268	191.580919816	91.0036841271	98.7009673151	83.7823317867	65.6328482404	210.737185485
278.112238493	226.467166928	150.068958804	84.8847178727	79.2041527179	61.6817179618	69.6286221511	179.72759428
218.839768512	253.053049531	172.670278873	162.000610975	215.46904985	260.832302741	252.572739213	422.867223872
491.465317732	620.950871881	427.018448884	409.684515467	527.608404196	454.730420287	491.482476672	620.299026009
561.316382978	581.438733876	544.412039558	509.730179382	547.100255294	604.906636849	590.641443486	770.996941217
247.057792184	250.49713154	175.114700989	102.373956116	73.2639357369	62.4827638782	89.259865239	213.599279056
343.1983681	325.823103212	268.988015484	163.068527441	179.570619432	154.542774557	175.361702569	297.959878167
568.198697493	613.284105749	611.041728589	486.091278076	612.570195345	586.055303996	699.336255579	742.76505172
275.720202964	267.830713771	264.471734578	205.401250391	142.60569159	88.2030066164	87.6996178851	202.014811266
407.234729245	410.393864035	349.624573193	269.625730062	286.147443593	254.977915373	226.91847454	417.624570119
498.232495002	544.247604082	468.925205255	420.577186441	509.20236302	521.981954323	528.2773973	686.143938556
288.64720864	268.765940156	163.029837602	129.820057227	139.803575288	96.6960434104	88.2906752292	222.321993078
226.849795335	262.453894416	224.838541923	113.984124986	115.269366148	72.2481580227	67.2641736037	139.649686361
250.404283818	310.774418364	239.85140725	208.256843285	305.081539999	260.710038716	374.723202494	433.592324891
336.36911884	316.61650095	317.225464203	284.538873229	207.655480775	167.266831812	136.021161181	271.261821723
258.482228549	244.210256828	162.841148185	91.892976293	123.944876089	78.5301557337	77.2779279505	216.566889157
318.608993069	402.354718202	315.542888769	249.708687136	336.859150624	257.524955852	295.983920718	470.248242065
299.009654862	272.441484081	208.375695702	130.034910051	147.890919308	99.1891465221	156.70119125	257.626883527
625.209854024	646.690857753	521.621431696	566.523785278	716.424041543	593.871563393	627.022063595	743.460645023
260.214765585	305.852482538	236.302348971	159.504728353	126.517947695	116.731696555	125.257141497	245.273795554
301.057993823	326.325563803	316.539312351	315.329967019	246.860522768	168.664865506	149.358248201	189.944169482
236.791233135	271.484821631	289.92517109	257.332922929	191.959743476	115.728199605	98.9517699428	153.355088096
210.773793777	257.451737167	205.007693912	137.150778367	115.257908277	84.2948731928	58.686072868	220.072772852
284.857791246	267.774877018	158.797667283	121.105515113	154.254597523	129.925366148	151.93061025	285.777702738
266.103582259	223.906500617	142.318275013	94.5877912782	124.982249692	92.3508840328	92.3901285405	236.258542507
404.093700844	352.125588231	265.258846462	234.506322105	224.475143637	217.674803254	207.780911132	310.444929085
284.424263666	286.428668745	273.313084801	299.654086068	218.754806007	136.848743208	125.060275545	292.139849874
296.507852458	325.263876387	452.453597693	424.629620888	385.581866806	397.011672205	328.413203617	239.211646101
226.957883185	257.592245432	210.120793774	134.079615715	115.604527884	94.5315015463	86.4938852747	247.566179244
282.437531213	272.608396854	195.853658472	117.495041637	170.954901605	124.270798425	133.036394875	272.299625493
258.806312407	212.448707734	156.599920644	92.2209712803	119.614515113	96.3030023255	40.8477757473	164.773140107
270.686306128	255.685293671	231.284633662	203.460914458	113.134519027	104.531134125	127.751121316	259.932071404
315.175585957	271.819321542	277.188464471	270.893016695	192.808858044	137.247658975	140.575498281	290.379747691
228.978189507	178.01686086	130.725696845	76.1125044343	75.9019961261	64.5894587472	79.2701296966	225.39039407
513.233499203	596.000651042	515.103273596	464.388023904	601.38695195	534.787274247	551.683783573	687.893627047
567.825521409	537.000114393	523.234177979	469.225403792	524.392060574	532.883201839	585.999984549	703.803790398
241.774415982	189.884133393	141.930647652	117.769505099	130.600554172	112.580475141	141.407456404	305.878213271
298.725138987	237.612459032	175.803197847	138.53123304	132.713312712	113.434708822	110.069538665	228.870863167
396.687910121	473.733641919	382.236316489	292.092904949	452.433977305	375.44710689	402.927701662	514.998683573
257.775091033	194.510293481	134.285317448	100.52733384	151.221451061	118.949090947	118.118664768	283.442129849
295.199969406	315.372852349	320.604760944	242.674994703	225.941447612	160.57684235	135.943970062	256.852619243
220.914801758	203.186336466	113.290112182	74.5748770797	60.5623421893	68.9918301474	97.4470699746	207.588708404
247.050632175	193.306011502	98.7084087125	93.5380144462	128.416096475	102.838835654	107.881687302	254.968106496
243.911117773	231.343230652	224.642322568	165.815605109	129.573795181	70.0406851185	98.7868954775	229.479145626
242.597164973	238.954453846	179.426348795	116.511806565	102.828763309	84.963008535	72.0304711617	184.0209283
223.816158628	288.616129421	259.392074175	201.191088529	178.648384401	110.471130217	92.3674107494	213.757520125
222.605031235	253.241742212	202.123379977	136.398542824	119.201845133	102.27961076	82.6470709267	243.395454455
115.200689686	160.193905618	242.360979149	232.412629985	234.571048215	169.661514612	82.5693235603	79.2826398122
303.357129742	331.195469478	292.683480055	224.428509803	232.641353373	153.4384614	145.97224015	257.805564348
225.539652175	194.415988674	144.200127957	60.9078098952	104.748845749	68.0815045961	50.8210641534	180.907818224
513.210254439	497.156701005	394.108278006	314.096792746	407.919454178	381.322183596	364.05134347	442.442830335
220.511892964	241.428935758	160.262583232	132.938963746	86.2190133513	85.5224315726	97.2956244379	235.149897075
310.890769684	270.56758458	230.509297268	293.87850557	250.288262566	164.726584894	129.112679077	163.245123554
708.772526069	794.733167815	661.508821014	644.512555218	700.041003541	716.881673314	779.036554529	835.672470195
248.275710676	246.465983073	182.936837154	121.963611291	124.262221138	74.9621637692	101.284688482	204.816525969
280.72196192	260.658482504	242.665116729	162.597598124	154.719372207	122.019328989	101.200402047	206.442930098
259.211267243	278.08046161	241.68864892	269.546441996	198.220884695	126.234909921	102.150956112	194.215470608
245.785012499	264.641744161	220.943579036	242.498331797	236.798142138	116.858746892	85.5028104165	223.926121993
222.068024603	230.653104283	164.30635716	119.742649846	81.8694505756	79.2792825123	55.8945481089	132.199255719
229.302544463	201.154805355	125.364877605	75.2012684774	87.8083931902	69.3637257308	80.5973151228	194.885578622
206.627693868	201.355830711	136.089086046	70.8223377202	87.6904639686	81.2379249982	115.541636601	240.730051079
287.413063104	230.577973949	165.482030306	114.072425019	174.184384572	150.96175862	143.309184671	281.291000915
88.0333685485	143.663183404	176.169659549	235.384619707	209.542404103	136.364236628	63.6234923189	63.9494147211
225.70987284	292.34385614	230.658743948	200.570957736	247.795405646	208.101482655	215.246044279	396.287388352
223.239718839	206.060175386	144.306450322	86.4723707475	104.809796651	92.3303976719	122.409609765	254.69981485
224.131720225	193.452123966	144.134912863	64.687028465	87.5873691871	51.9160153611	58.6574637455	131.132322539
295.405812102	295.543038854	223.934450569	137.410619076	182.825340535	156.065389027	188.957825691	289.239017031
180.607028219	260.957155829	187.434822031	151.895517388	212.155827106	177.074146757	186.217535544	353.150672452
260.984613406	333.884577194	284.707990813	197.347017122	179.069402912	147.740263459	164.068391941	231.394463046
268.242379168	254.467747311	173.703645336	143.43672773	182.513917333	127.935357128	109.716342295	267.997104123
245.487200246	235.634468485	212.983671516	247.246331435	257.897933328	145.136178282	76.5624400935	157.700230096
180.570417494	209.263623871	163.217207326	226.214123566	326.324583169	317.30933119	298.391035413	292.451037362
244.939296315	237.623192361	194.112548396	110.882248932	137.625042945	96.6016974779	74.8335095292	176.752889573
214.782603526	234.094462145	225.134125268	251.493434829	190.793801224	114.745366116	94.994189192	102.682322457
157.093632101	158.41811563	131.702779646	166.57105052	230.234591038	284.499193095	272.06866971	284.038080119
278.797669902	282.840442635	215.775681625	120.887638273	158.612073187	145.370190412	207.472273155	272.350222616
208.595491294	258.78800652	186.016178438	180.204314981	156.197209813	95.6623252254	79.8467394938	243.365978983
271.373316663	279.48707523	222.982415589	164.582258117	154.976122586	104.784067358	135.935391552	221.798802694
269.533086892	281.083588875	175.682961176	130.387052446	164.18737583	156.984328968	129.654849212	257.030722036
296.340695363	319.103804582	272.737048743	220.649495347	174.986045597	168.570520077	158.655616136	275.704657213
215.853452772	216.173788826	98.3806286498	73.4857257485	83.8097880575	68.7355587722	80.8718243925	159.821616333
244.556832553	217.602249423	156.204011161	121.630835933	104.557568832	98.249374347	56.6670934048	120.152828771
196.171006113	280.327610856	218.762576697	185.381254904	273.183047505	214.088161445	258.679498325	380.291460001
317.714347503	353.977502787	289.033171456	235.77915801	347.124561238	273.371740809	369.167209697	437.396503856
254.449704317	256.271058767	203.259557481	133.453152829	134.743663557	128.281970082	89.1457175184	209.144642772
347.119148869	262.577157552	226.680902161	192.066007806	221.720228259	185.531094237	168.13211843	309.474762782
211.496845425	250.120551141	318.133059406	287.380533462	349.004569034	287.389686021	216.851079134	157.194836661
210.37713656	246.206887664	153.385075411	133.331404926	128.308176329	62.5548963478	70.2565265903	132.389549091
116.485928762	94.6270343588	43.62948924	71.1689479471	172.261427296	183.053521191	212.496312972	192.324911433
